id, featurePt.x, featurePt.y, status
0,581.0,249.0,1
1,237.0,303.0,1
2,242.0,471.0,1
3,699.0,602.0,1
4,571.0,246.0,1
5,425.0,13.0,1
6,454.0,11.0,1
7,251.0,337.0,1
8,466.0,275.0,1
9,228.0,475.0,1
10,259.0,295.0,1
11,300.0,103.0,1
12,651.0,132.0,1
13,200.0,14.0,1
14,251.0,469.0,1
15,361.0,303.0,1
16,225.0,313.0,1
17,1126.0,698.0,1
18,569.0,234.0,1
19,490.0,22.0,1
20,115.0,332.0,1
21,441.0,233.0,1
22,695.0,234.0,1
23,575.0,326.0,1
24,525.0,271.0,1
25,252.0,298.0,1
26,154.0,19.0,1
27,444.0,19.0,1
28,492.0,267.0,1
29,485.0,27.0,1
30,683.0,230.0,1
31,1103.0,701.0,1
32,144.0,312.0,1
33,544.0,243.0,1
34,373.0,301.0,1
35,538.0,334.0,1
36,624.0,133.0,1
37,359.0,269.0,1
38,266.0,366.0,1
39,353.0,319.0,1
40,534.0,271.0,1
41,98.0,123.0,1
42,136.0,344.0,1
43,100.0,194.0,1
44,501.0,430.0,1
45,706.0,216.0,1
46,606.0,245.0,1
47,449.0,634.0,1
48,236.0,133.0,1
49,387.0,25.0,1
50,644.0,137.0,1
51,349.0,305.0,1
52,665.0,174.0,1
53,192.0,129.0,1
54,160.0,127.0,1
55,460.0,20.0,1
56,558.0,253.0,1
57,761.0,603.0,1
58,769.0,602.0,1
59,32.0,224.0,1
60,250.0,192.0,1
61,505.0,152.0,1
62,772.0,574.0,1
63,759.0,586.0,1
64,104.0,222.0,1
65,113.0,194.0,1
66,627.0,242.0,1
67,455.0,191.0,1
68,949.0,286.0,1
69,552.0,259.0,1
70,111.0,318.0,1
71,297.0,137.0,1
72,1178.0,701.0,1
73,96.0,319.0,1
74,28.0,194.0,1
75,148.0,1.0,1
76,480.0,206.0,1
77,370.0,142.0,1
78,15.0,116.0,1
79,112.0,363.0,1
80,679.0,523.0,1
81,393.0,115.0,1
82,323.0,192.0,1
83,311.0,192.0,1
84,218.0,329.0,1
85,613.0,246.0,1
86,716.0,212.0,1
87,90.0,323.0,1
88,218.0,193.0,1
89,260.0,303.0,1
90,212.0,246.0,1
91,99.0,332.0,1
92,853.0,621.0,1
93,439.0,147.0,1
94,727.0,527.0,1
95,337.0,192.0,1
96,235.0,95.0,1
97,477.0,189.0,1
98,586.0,242.0,1
99,398.0,327.0,1
