id, featurePt.x, featurePt.y, status
0,243.0,362.0,1
1,218.0,368.0,1
2,455.0,342.0,1
3,291.0,176.0,1
4,756.0,481.0,1
5,483.0,335.0,1
6,194.0,90.0,1
7,486.0,102.0,1
8,211.0,377.0,1
9,647.0,890.0,1
10,282.0,109.0,1
11,455.0,329.0,1
12,422.0,92.0,1
13,791.0,481.0,1
14,451.0,91.0,1
15,237.0,401.0,1
16,440.0,99.0,1
17,146.0,94.0,1
18,572.0,319.0,1
19,645.0,206.0,1
20,131.0,72.0,1
21,619.0,312.0,1
22,228.0,365.0,1
23,281.0,361.0,1
24,144.0,74.0,1
25,400.0,691.0,1
26,225.0,525.0,1
27,618.0,208.0,1
28,50.0,55.0,1
29,955.0,564.0,1
30,722.0,583.0,1
31,781.0,563.0,1
32,379.0,346.0,1
33,482.0,327.0,1
34,516.0,340.0,1
35,554.0,314.0,1
36,432.0,302.0,1
37,226.0,167.0,1
38,463.0,157.0,1
39,7.0,43.0,1
40,278.0,121.0,1
41,41.0,57.0,1
42,53.0,48.0,1
43,154.0,137.0,1
44,397.0,188.0,1
45,386.0,188.0,1
46,239.0,261.0,1
47,349.0,370.0,1
48,359.0,347.0,1
49,706.0,286.0,1
50,208.0,532.0,1
51,563.0,317.0,1
52,635.0,838.0,1
53,561.0,391.0,1
54,362.0,367.0,1
55,36.0,45.0,1
56,131.0,133.0,1
57,892.0,284.0,1
58,173.0,138.0,1
59,563.0,304.0,1
60,70.0,52.0,1
61,352.0,352.0,1
62,446.0,262.0,1
63,123.0,65.0,1
64,21.0,40.0,1
65,15.0,260.0,1
66,223.0,111.0,1
67,210.0,145.0,1
68,336.0,371.0,1
69,86.0,125.0,1
70,498.0,224.0,1
71,618.0,825.0,1
72,2.0,48.0,1
73,644.0,539.0,1
74,327.0,262.0,1
75,161.0,135.0,1
76,542.0,314.0,1
77,773.0,584.0,1
78,516.0,115.0,1
79,101.0,393.0,1
80,730.0,187.0,1
81,491.0,109.0,1
82,524.0,401.0,1
83,168.0,74.0,1
84,638.0,212.0,1
85,947.0,337.0,1
86,662.0,209.0,1
87,678.0,302.0,1
88,471.0,277.0,1
89,524.0,339.0,1
90,653.0,875.0,1
91,569.0,828.0,1
92,188.0,103.0,1
93,88.0,261.0,1
94,93.0,380.0,1
95,543.0,329.0,1
96,535.0,313.0,1
97,301.0,261.0,1
98,689.0,306.0,1
99,480.0,488.0,1
