id, featurePt.x, featurePt.y, status
0,457.0,354.0,1
1,243.0,376.0,1
2,220.0,382.0,1
3,294.0,188.0,1
4,197.0,101.0,1
5,456.0,347.0,1
6,285.0,121.0,1
7,488.0,114.0,1
8,646.0,220.0,1
9,488.0,349.0,1
10,150.0,105.0,1
11,453.0,103.0,1
12,424.0,104.0,1
13,53.0,64.0,1
14,213.0,390.0,1
15,949.0,711.0,1
16,442.0,111.0,1
17,818.0,464.0,1
18,620.0,326.0,1
19,148.0,87.0,1
20,134.0,83.0,1
21,483.0,341.0,1
22,229.0,180.0,1
23,789.0,464.0,1
24,126.0,75.0,1
25,619.0,221.0,1
26,230.0,380.0,1
27,685.0,689.0,1
28,361.0,361.0,1
29,280.0,132.0,1
30,572.0,334.0,1
31,282.0,373.0,1
32,382.0,359.0,1
33,388.0,200.0,1
34,820.0,525.0,1
35,434.0,316.0,1
36,226.0,124.0,1
37,399.0,201.0,1
38,517.0,353.0,1
39,11.0,54.0,1
40,213.0,156.0,1
41,892.0,299.0,1
42,464.0,168.0,1
43,165.0,85.0,1
44,354.0,366.0,1
45,191.0,115.0,1
46,38.0,61.0,1
47,240.0,384.0,1
48,73.0,62.0,1
49,556.0,327.0,1
50,82.0,64.0,1
51,492.0,121.0,1
52,457.0,111.0,1
53,158.0,149.0,1
54,499.0,237.0,1
55,953.0,704.0,1
56,639.0,225.0,1
57,39.0,54.0,1
58,564.0,319.0,1
59,543.0,328.0,1
60,451.0,152.0,1
61,364.0,227.0,1
62,432.0,232.0,1
63,205.0,156.0,1
64,707.0,300.0,1
65,690.0,320.0,1
66,128.0,87.0,1
67,447.0,275.0,1
68,376.0,363.0,1
69,318.0,140.0,1
70,239.0,416.0,1
71,492.0,211.0,1
72,1145.0,224.0,1
73,518.0,127.0,1
74,44.0,67.0,1
75,385.0,153.0,1
76,131.0,102.0,1
77,134.0,144.0,1
78,662.0,222.0,1
79,25.0,51.0,1
80,730.0,200.0,1
81,224.0,157.0,1
82,819.0,540.0,1
83,176.0,150.0,1
84,218.0,179.0,1
85,562.0,406.0,1
86,619.0,310.0,1
87,210.0,546.0,1
88,484.0,159.0,1
89,824.0,445.0,1
90,350.0,384.0,1
91,473.0,290.0,1
92,259.0,129.0,1
93,346.0,105.0,1
94,203.0,117.0,1
95,329.0,193.0,1
96,375.0,152.0,1
97,495.0,175.0,1
98,269.0,165.0,1
99,619.0,238.0,1
