id, featurePt.x, featurePt.y, status
0,456.0,356.0,1
1,242.0,376.0,1
2,219.0,382.0,1
3,293.0,188.0,1
4,284.0,121.0,1
5,196.0,101.0,1
6,456.0,343.0,1
7,487.0,114.0,1
8,646.0,220.0,1
9,486.0,349.0,1
10,149.0,105.0,1
11,424.0,104.0,1
12,951.0,687.0,1
13,212.0,390.0,1
14,452.0,103.0,1
15,441.0,111.0,1
16,679.0,708.0,1
17,382.0,359.0,1
18,247.0,381.0,1
19,618.0,325.0,1
20,813.0,469.0,1
21,53.0,65.0,1
22,784.0,469.0,1
23,147.0,85.0,1
24,571.0,335.0,1
25,126.0,75.0,1
26,134.0,83.0,1
27,618.0,221.0,1
28,388.0,200.0,1
29,230.0,380.0,1
30,228.0,179.0,1
31,280.0,132.0,1
32,360.0,361.0,1
33,238.0,415.0,1
34,482.0,341.0,1
35,555.0,327.0,1
36,517.0,354.0,1
37,704.0,511.0,1
38,464.0,169.0,1
39,225.0,122.0,1
40,433.0,316.0,1
41,213.0,157.0,1
42,282.0,375.0,1
43,191.0,115.0,1
44,892.0,299.0,1
45,158.0,149.0,1
46,11.0,55.0,1
47,814.0,532.0,1
48,73.0,63.0,1
49,499.0,238.0,1
50,164.0,84.0,1
51,432.0,232.0,1
52,447.0,275.0,1
53,39.0,55.0,1
54,133.0,144.0,1
55,543.0,328.0,1
56,706.0,300.0,1
57,492.0,121.0,1
58,224.0,158.0,1
59,318.0,140.0,1
60,690.0,321.0,1
61,353.0,366.0,1
62,399.0,202.0,1
63,451.0,152.0,1
64,175.0,150.0,1
65,662.0,222.0,1
66,564.0,319.0,1
67,376.0,363.0,1
68,525.0,353.0,1
69,44.0,67.0,1
70,81.0,64.0,1
71,619.0,238.0,1
72,364.0,226.0,1
73,518.0,127.0,1
74,25.0,52.0,1
75,619.0,309.0,1
76,202.0,117.0,1
77,130.0,102.0,1
78,562.0,406.0,1
79,1145.0,224.0,1
80,678.0,316.0,1
81,536.0,327.0,1
82,730.0,200.0,1
83,456.0,109.0,1
84,58.0,60.0,1
85,269.0,165.0,1
86,484.0,159.0,1
87,203.0,155.0,1
88,128.0,87.0,1
89,217.0,178.0,1
90,209.0,546.0,1
91,88.0,136.0,1
92,374.0,151.0,1
93,345.0,104.0,1
94,472.0,290.0,1
95,363.0,381.0,1
96,259.0,128.0,1
97,564.0,331.0,1
98,350.0,384.0,1
99,495.0,176.0,1
