id, featurePt.x, featurePt.y, status
0,233.0,467.0,1
1,619.0,241.0,1
2,572.0,251.0,1
3,248.0,294.0,1
4,223.0,303.0,1
5,290.0,103.0,1
6,241.0,337.0,1
7,419.0,14.0,1
8,458.0,274.0,1
9,214.0,312.0,1
10,448.0,12.0,1
11,565.0,246.0,1
12,959.0,603.0,1
13,142.0,19.0,1
14,700.0,486.0,1
15,479.0,27.0,1
16,189.0,14.0,1
17,646.0,133.0,1
18,486.0,267.0,1
19,437.0,20.0,1
20,241.0,299.0,1
21,1131.0,830.0,1
22,537.0,243.0,1
23,690.0,235.0,1
24,365.0,300.0,1
25,565.0,325.0,1
26,618.0,134.0,1
27,434.0,233.0,1
28,675.0,599.0,1
29,1190.0,840.0,1
30,619.0,224.0,1
31,518.0,270.0,1
32,385.0,115.0,1
33,563.0,234.0,1
34,706.0,214.0,1
35,102.0,330.0,1
36,352.0,303.0,1
37,258.0,365.0,1
38,679.0,230.0,1
39,182.0,129.0,1
40,279.0,33.0,1
41,600.0,246.0,1
42,526.0,270.0,1
43,893.0,210.0,1
44,132.0,310.0,1
45,737.0,598.0,1
46,457.0,261.0,1
47,487.0,428.0,1
48,86.0,123.0,1
49,148.0,126.0,1
50,744.0,487.0,1
51,545.0,259.0,1
52,745.0,598.0,1
53,224.0,472.0,1
54,730.0,111.0,1
55,231.0,304.0,1
56,288.0,137.0,1
57,732.0,620.0,1
58,87.0,193.0,1
59,124.0,342.0,1
60,92.0,221.0,1
61,454.0,19.0,1
62,389.0,326.0,1
63,15.0,193.0,1
64,1099.0,833.0,1
65,240.0,190.0,1
66,498.0,152.0,1
67,224.0,132.0,1
68,447.0,191.0,1
69,619.0,151.0,1
70,216.0,365.0,1
71,19.0,222.0,1
72,225.0,95.0,1
73,975.0,409.0,1
74,101.0,193.0,1
75,100.0,361.0,1
76,829.0,618.0,1
77,713.0,215.0,1
78,350.0,268.0,1
79,666.0,219.0,1
80,362.0,142.0,1
81,472.0,206.0,1
82,230.0,251.0,1
83,830.0,628.0,1
84,284.0,295.0,1
85,339.0,305.0,1
86,83.0,318.0,1
87,716.0,108.0,1
88,233.0,132.0,1
89,98.0,317.0,1
90,390.0,304.0,1
91,77.0,322.0,1
92,87.0,330.0,1
93,397.0,115.0,1
94,343.0,318.0,1
95,662.0,134.0,1
96,1126.0,836.0,1
97,727.0,213.0,1
98,587.0,529.0,1
99,2.0,115.0,1
