id, featurePt.x, featurePt.y, status
0,583.0,251.0,1
1,715.0,603.0,1
2,258.0,338.0,1
3,242.0,304.0,1
4,458.0,12.0,1
5,430.0,14.0,1
6,240.0,475.0,1
7,575.0,247.0,1
8,264.0,298.0,1
9,367.0,304.0,1
10,253.0,471.0,1
11,447.0,234.0,1
12,239.0,466.0,1
13,654.0,132.0,1
14,106.0,124.0,1
15,494.0,23.0,1
16,306.0,103.0,1
17,703.0,235.0,1
18,233.0,314.0,1
19,472.0,275.0,1
20,627.0,241.0,1
21,263.0,470.0,1
22,581.0,326.0,1
23,124.0,332.0,1
24,530.0,271.0,1
25,207.0,14.0,1
26,108.0,194.0,1
27,448.0,19.0,1
28,628.0,134.0,1
29,161.0,19.0,1
30,573.0,234.0,1
31,510.0,430.0,1
32,354.0,306.0,1
33,380.0,301.0,1
34,112.0,223.0,1
35,152.0,312.0,1
36,687.0,231.0,1
37,497.0,267.0,1
38,304.0,138.0,1
39,786.0,575.0,1
40,539.0,271.0,1
41,549.0,244.0,1
42,226.0,194.0,1
43,167.0,128.0,1
44,714.0,214.0,1
45,242.0,133.0,1
46,359.0,320.0,1
47,563.0,254.0,1
48,303.0,708.0,1
49,609.0,246.0,1
50,392.0,25.0,1
51,226.0,329.0,1
52,510.0,152.0,1
53,1094.0,628.0,1
54,119.0,318.0,1
55,459.0,191.0,1
56,616.0,246.0,1
57,115.0,350.0,1
58,272.0,366.0,1
59,228.0,341.0,1
60,200.0,130.0,1
61,556.0,260.0,1
62,105.0,320.0,1
63,343.0,193.0,1
64,716.0,553.0,1
65,121.0,194.0,1
66,465.0,19.0,1
67,777.0,604.0,1
68,480.0,282.0,1
69,24.0,117.0,1
70,257.0,192.0,1
71,45.0,119.0,1
72,329.0,193.0,1
73,108.0,332.0,1
74,664.0,550.0,1
75,366.0,269.0,1
76,403.0,327.0,1
77,41.0,224.0,1
78,784.0,603.0,1
79,694.0,234.0,1
80,868.0,621.0,1
81,677.0,219.0,1
82,950.0,293.0,1
83,376.0,142.0,1
84,486.0,207.0,1
85,285.0,624.0,1
86,545.0,335.0,1
87,219.0,247.0,1
88,99.0,324.0,1
89,2.0,38.0,1
90,197.0,194.0,1
91,37.0,194.0,1
92,399.0,116.0,1
93,774.0,587.0,1
94,2.0,225.0,1
95,447.0,191.0,1
96,594.0,263.0,1
97,318.0,193.0,1
98,444.0,147.0,1
99,116.0,333.0,1
