id, featurePt.x, featurePt.y, status
0,580.0,251.0,1
1,237.0,304.0,1
2,455.0,11.0,1
3,705.0,602.0,1
4,254.0,338.0,1
5,246.0,471.0,1
6,427.0,13.0,1
7,573.0,246.0,1
8,468.0,275.0,1
9,302.0,103.0,1
10,228.0,313.0,1
11,696.0,234.0,1
12,232.0,475.0,1
13,255.0,469.0,1
14,445.0,20.0,1
15,577.0,326.0,1
16,571.0,234.0,1
17,156.0,19.0,1
18,443.0,233.0,1
19,487.0,27.0,1
20,652.0,132.0,1
21,254.0,298.0,1
22,203.0,14.0,1
23,261.0,294.0,1
24,117.0,332.0,1
25,363.0,303.0,1
26,494.0,267.0,1
27,527.0,270.0,1
28,684.0,230.0,1
29,101.0,123.0,1
30,389.0,25.0,1
31,163.0,127.0,1
32,535.0,270.0,1
33,504.0,430.0,1
34,355.0,319.0,1
35,545.0,243.0,1
36,102.0,194.0,1
37,1102.0,677.0,1
38,139.0,344.0,1
39,268.0,366.0,1
40,412.0,655.0,1
41,766.0,603.0,1
42,195.0,129.0,1
43,351.0,305.0,1
44,540.0,334.0,1
45,610.0,244.0,1
46,147.0,312.0,1
47,712.0,213.0,1
48,375.0,301.0,1
49,237.0,133.0,1
50,107.0,222.0,1
51,252.0,192.0,1
52,116.0,194.0,1
53,625.0,133.0,1
54,1124.0,673.0,1
55,560.0,253.0,1
56,31.0,194.0,1
57,553.0,259.0,1
58,777.0,574.0,1
59,477.0,281.0,1
60,300.0,137.0,1
61,645.0,137.0,1
62,102.0,332.0,1
63,232.0,466.0,1
64,858.0,621.0,1
65,456.0,191.0,1
66,115.0,363.0,1
67,481.0,206.0,1
68,674.0,531.0,1
69,361.0,269.0,1
70,221.0,193.0,1
71,400.0,327.0,1
72,724.0,535.0,1
73,459.0,18.0,1
74,35.0,224.0,1
75,507.0,152.0,1
76,720.0,214.0,1
77,325.0,192.0,1
78,764.0,586.0,1
79,223.0,328.0,1
80,93.0,323.0,1
81,774.0,603.0,1
82,113.0,317.0,1
83,395.0,115.0,1
84,372.0,142.0,1
85,245.0,300.0,1
86,950.0,288.0,1
87,18.0,116.0,1
88,252.0,323.0,1
89,214.0,467.0,1
90,108.0,350.0,1
91,479.0,189.0,1
92,110.0,332.0,1
93,339.0,192.0,1
94,668.0,174.0,1
95,99.0,319.0,1
96,467.0,261.0,1
97,247.0,133.0,1
98,626.0,150.0,1
99,239.0,155.0,1
