id, featurePt.x, featurePt.y, status
0,450.0,91.0,1
1,298.0,434.0,1
2,130.0,193.0,1
3,388.0,73.0,1
4,72.0,511.0,1
5,479.0,181.0,1
6,151.0,185.0,1
7,228.0,107.0,1
8,141.0,179.0,1
9,354.0,34.0,1
10,243.0,347.0,1
11,310.0,453.0,1
12,241.0,122.0,1
13,129.0,206.0,1
14,161.0,357.0,1
15,237.0,116.0,1
16,232.0,98.0,1
17,120.0,265.0,1
18,11.0,1159.0,1
19,266.0,365.0,1
20,208.0,1.0,1
21,159.0,328.0,1
22,167.0,202.0,1
23,403.0,273.0,1
24,15.0,1176.0,1
25,189.0,175.0,1
26,141.0,680.0,1
27,120.0,255.0,1
28,289.0,117.0,1
29,259.0,366.0,1
30,471.0,167.0,1
31,211.0,148.0,1
32,28.0,2.0,1
33,200.0,137.0,1
34,440.0,118.0,1
35,383.0,93.0,1
36,228.0,117.0,1
37,467.0,39.0,1
38,160.0,186.0,1
39,177.0,800.0,1
40,203.0,171.0,1
41,18.0,70.0,1
42,347.0,23.0,1
43,117.0,792.0,1
44,342.0,207.0,1
45,221.0,22.0,1
46,372.0,75.0,1
47,319.0,29.0,1
48,305.0,262.0,1
49,500.0,52.0,1
50,407.0,231.0,1
51,27.0,32.0,1
52,278.0,364.0,1
53,79.0,795.0,1
54,291.0,377.0,1
55,153.0,497.0,1
56,458.0,4.0,1
57,60.0,490.0,1
58,344.0,192.0,1
59,242.0,135.0,1
60,484.0,17.0,1
61,426.0,320.0,1
62,306.0,440.0,1
63,241.0,218.0,1
64,28.0,694.0,1
65,149.0,685.0,1
66,16.0,160.0,1
67,241.0,76.0,1
68,362.0,63.0,1
69,105.0,797.0,1
70,402.0,194.0,1
71,482.0,169.0,1
72,173.0,219.0,1
73,137.0,398.0,1
74,196.0,163.0,1
75,443.0,85.0,1
76,4.0,425.0,1
77,448.0,130.0,1
78,414.0,236.0,1
79,62.0,664.0,1
80,1.0,772.0,1
81,162.0,349.0,1
82,387.0,373.0,1
83,164.0,1198.0,1
84,437.0,70.0,1
85,127.0,94.0,1
86,170.0,816.0,1
87,208.0,485.0,1
88,288.0,550.0,1
89,155.0,391.0,1
90,202.0,7.0,1
91,197.0,152.0,1
92,217.0,410.0,1
93,42.0,476.0,1
94,273.0,591.0,1
95,271.0,133.0,1
96,156.0,337.0,1
97,228.0,214.0,1
98,23.0,210.0,1
99,389.0,204.0,1
