id, featurePt.x, featurePt.y, status
0,70.0,18.0,1
1,119.0,255.0,1
2,426.0,132.0,1
3,289.0,498.0,1
4,118.0,268.0,1
5,461.0,89.0,1
6,136.0,245.0,1
7,98.0,1.0,1
8,143.0,425.0,1
9,218.0,166.0,1
10,218.0,178.0,1
11,198.0,378.0,1
12,142.0,501.0,1
13,116.0,152.0,1
14,416.0,382.0,1
15,301.0,516.0,1
16,227.0,418.0,1
17,214.0,113.0,1
18,246.0,22.0,1
19,298.0,42.0,1
20,63.0,86.0,1
21,146.0,406.0,1
22,84.0,16.0,1
23,187.0,212.0,1
24,199.0,208.0,1
25,25.0,6.0,1
26,88.0,26.0,1
27,250.0,434.0,1
28,447.0,34.0,1
29,235.0,185.0,1
30,9.0,129.0,1
31,281.0,448.0,1
32,140.0,891.0,1
33,206.0,376.0,1
34,295.0,322.0,1
35,230.0,170.0,1
36,110.0,313.0,1
37,258.0,434.0,1
38,81.0,47.0,1
39,350.0,117.0,1
40,112.0,303.0,1
41,206.0,952.0,1
42,189.0,928.0,1
43,110.0,323.0,1
44,196.0,1181.0,1
45,17.0,51.0,1
46,9.0,55.0,1
47,221.0,159.0,1
48,452.0,190.0,1
49,154.0,895.0,1
50,195.0,191.0,1
51,128.0,23.0,1
52,406.0,296.0,1
53,419.0,126.0,1
54,142.0,565.0,1
55,195.0,553.0,1
56,281.0,169.0,1
57,111.0,349.0,1
58,379.0,434.0,1
59,130.0,241.0,1
60,207.0,592.0,1
61,20.0,16.0,1
62,129.0,33.0,1
63,207.0,75.0,1
64,186.0,223.0,1
65,456.0,257.0,1
66,102.0,880.0,1
67,201.0,44.0,1
68,265.0,652.0,1
69,208.0,39.0,1
70,509.0,26.0,1
71,211.0,32.0,1
72,268.0,434.0,1
73,333.0,268.0,1
74,401.0,307.0,1
75,156.0,264.0,1
76,16.0,8.0,1
77,432.0,179.0,1
78,219.0,274.0,1
79,451.0,55.0,1
80,295.0,674.0,1
81,464.0,226.0,1
82,216.0,382.0,1
83,14.0,273.0,1
84,194.0,24.0,1
85,152.0,401.0,1
86,409.0,24.0,1
87,169.0,280.0,1
88,374.0,140.0,1
89,18.0,283.0,1
90,398.0,292.0,1
91,366.0,135.0,1
92,361.0,224.0,1
93,81.0,36.0,1
94,137.0,549.0,1
95,325.0,227.0,1
96,667.0,789.0,1
97,263.0,26.0,1
98,236.0,597.0,1
99,231.0,279.0,1
