id, featurePt.x, featurePt.y, status
0,230.0,490.0,1
1,59.0,73.0,1
2,109.0,316.0,1
3,280.0,559.0,1
4,108.0,328.0,1
5,253.0,86.0,1
6,77.0,76.0,1
7,177.0,270.0,1
8,79.0,62.0,1
9,139.0,472.0,1
10,208.0,223.0,1
11,126.0,305.0,1
12,205.0,455.0,1
13,197.0,87.0,1
14,275.0,232.0,1
15,185.0,77.0,1
16,200.0,201.0,1
17,198.0,450.0,1
18,177.0,1002.0,1
19,134.0,479.0,1
20,441.0,83.0,1
21,454.0,137.0,1
22,179.0,258.0,1
23,293.0,573.0,1
24,121.0,89.0,1
25,184.0,621.0,1
26,236.0,79.0,1
27,189.0,265.0,1
28,86.0,961.0,1
29,13.0,64.0,1
30,367.0,199.0,1
31,419.0,192.0,1
32,196.0,19.0,1
33,6.0,107.0,1
34,265.0,548.0,1
35,379.0,187.0,1
36,77.0,157.0,1
37,445.0,248.0,1
38,240.0,500.0,1
39,287.0,380.0,1
40,251.0,259.0,1
41,503.0,70.0,1
42,162.0,319.0,1
43,402.0,76.0,1
44,128.0,572.0,1
45,496.0,31.0,1
46,396.0,355.0,1
47,392.0,397.0,1
48,128.0,498.0,1
49,225.0,244.0,1
50,247.0,500.0,1
51,144.0,461.0,1
52,127.0,613.0,1
53,102.0,361.0,1
54,103.0,981.0,1
55,259.0,500.0,1
56,379.0,317.0,1
57,198.0,127.0,1
58,6.0,90.0,1
59,3.0,58.0,1
60,352.0,285.0,1
61,325.0,328.0,1
62,384.0,388.0,1
63,387.0,35.0,1
64,7.0,74.0,1
65,214.0,485.0,1
66,450.0,317.0,1
67,106.0,207.0,1
68,191.0,94.0,1
69,290.0,101.0,1
70,87.0,59.0,1
71,73.0,943.0,1
72,70.0,73.0,1
73,215.0,213.0,1
74,700.0,746.0,1
75,53.0,145.0,1
76,379.0,394.0,1
77,445.0,103.0,1
78,119.0,303.0,1
79,469.0,96.0,1
80,376.0,97.0,1
81,197.0,658.0,1
82,316.0,288.0,1
83,210.0,191.0,1
84,240.0,263.0,1
85,405.0,436.0,1
86,357.0,214.0,1
87,453.0,246.0,1
88,28.0,316.0,1
89,212.0,150.0,1
90,312.0,95.0,1
91,196.0,45.0,1
92,156.0,385.0,1
93,55.0,135.0,1
94,11.0,96.0,1
95,50.0,58.0,1
96,208.0,237.0,1
97,224.0,255.0,1
98,118.0,77.0,1
99,459.0,285.0,1
