id, featurePt.x, featurePt.y, status
0,91.0,507.0,1
1,142.0,53.0,1
2,48.0,246.0,1
3,53.0,113.0,1
4,342.0,406.0,1
5,15.0,251.0,1
6,202.0,162.0,1
7,141.0,481.0,1
8,164.0,207.0,1
9,75.0,521.0,1
10,155.0,260.0,1
11,184.0,386.0,1
12,132.0,41.0,1
13,143.0,10.0,1
14,137.0,33.0,1
15,177.0,431.0,1
16,211.0,181.0,1
17,24.0,261.0,1
18,407.0,415.0,1
19,103.0,717.0,1
20,211.0,190.0,1
21,134.0,56.0,1
22,98.0,514.0,1
23,215.0,723.0,1
24,89.0,248.0,1
25,336.0,415.0,1
26,128.0,22.0,1
27,373.0,165.0,1
28,168.0,214.0,1
29,36.0,286.0,1
30,239.0,735.0,1
31,422.0,248.0,1
32,422.0,6.0,1
33,78.0,514.0,1
34,374.0,12.0,1
35,328.0,426.0,1
36,197.0,169.0,1
37,81.0,751.0,1
38,95.0,109.0,1
39,198.0,708.0,1
40,161.0,225.0,1
41,29.0,1196.0,1
42,360.0,226.0,1
43,392.0,398.0,1
44,453.0,161.0,1
45,11.0,70.0,1
46,312.0,405.0,1
47,110.0,1207.0,1
48,364.0,390.0,1
49,27.0,915.0,1
50,179.0,396.0,1
51,162.0,272.0,1
52,195.0,410.0,1
53,215.0,196.0,1
54,183.0,427.0,1
55,138.0,699.0,1
56,189.0,414.0,1
57,46.0,369.0,1
58,237.0,192.0,1
59,168.0,404.0,1
60,39.0,172.0,1
61,186.0,398.0,1
62,135.0,21.0,1
63,202.0,571.0,1
64,67.0,109.0,1
65,355.0,553.0,1
66,147.0,466.0,1
67,159.0,183.0,1
68,204.0,452.0,1
69,229.0,723.0,1
70,126.0,578.0,1
71,356.0,515.0,1
72,44.0,260.0,1
73,156.0,701.0,1
74,442.0,174.0,1
75,168.0,231.0,1
76,434.0,299.0,1
77,239.0,448.0,1
78,111.0,58.0,1
79,403.0,227.0,1
80,347.0,395.0,1
81,297.0,530.0,1
82,265.0,331.0,1
83,49.0,181.0,1
84,260.0,574.0,1
85,353.0,491.0,1
86,384.0,317.0,1
87,17.0,75.0,1
88,116.0,74.0,1
89,285.0,474.0,1
90,412.0,205.0,1
91,245.0,209.0,1
92,400.0,363.0,1
93,291.0,496.0,1
94,293.0,318.0,1
95,109.0,708.0,1
96,371.0,629.0,1
97,166.0,278.0,1
98,201.0,21.0,1
99,379.0,228.0,1
