id, featurePt.x, featurePt.y, status
0,12.0,342.0,1
1,161.0,120.0,1
2,171.0,125.0,1
3,457.0,27.0,1
4,141.0,129.0,1
5,172.0,283.0,1
6,400.0,7.0,1
7,163.0,284.0,1
8,33.0,668.0,1
9,87.0,683.0,1
10,178.0,139.0,1
11,184.0,716.0,1
12,152.0,115.0,1
13,240.0,53.0,1
14,391.0,30.0,1
15,483.0,154.0,1
16,132.0,162.0,1
17,130.0,208.0,1
18,139.0,149.0,1
19,12.0,628.0,1
20,486.0,125.0,1
21,388.0,41.0,1
22,394.0,13.0,1
23,48.0,664.0,1
24,185.0,188.0,1
25,385.0,23.0,1
26,207.0,90.0,1
27,300.0,307.0,1
28,252.0,272.0,1
29,278.0,294.0,1
30,152.0,608.0,1
31,211.0,74.0,1
32,231.0,863.0,1
33,263.0,291.0,1
34,212.0,110.0,1
35,482.0,85.0,1
36,74.0,591.0,1
37,318.0,388.0,1
38,172.0,377.0,1
39,129.0,197.0,1
40,350.0,143.0,1
41,198.0,115.0,1
42,308.0,369.0,1
43,313.0,200.0,1
44,192.0,162.0,1
45,92.0,1084.0,1
46,297.0,54.0,1
47,222.0,802.0,1
48,163.0,358.0,1
49,250.0,155.0,1
50,131.0,230.0,1
51,229.0,45.0,1
52,442.0,3.0,1
53,40.0,1247.0,1
54,417.0,170.0,1
55,481.0,119.0,1
56,395.0,309.0,1
57,289.0,295.0,1
58,73.0,666.0,1
59,242.0,34.0,1
60,379.0,787.0,1
61,82.0,435.0,1
62,224.0,219.0,1
63,88.0,456.0,1
64,353.0,127.0,1
65,257.0,543.0,1
66,139.0,141.0,1
67,238.0,40.0,1
68,166.0,1002.0,1
69,211.0,801.0,1
70,397.0,140.0,1
71,1.0,642.0,1
72,229.0,803.0,1
73,33.0,1069.0,1
74,276.0,889.0,1
75,139.0,617.0,1
76,348.0,29.0,1
77,476.0,876.0,1
78,307.0,388.0,1
79,308.0,39.0,1
80,74.0,166.0,1
81,297.0,486.0,1
82,189.0,721.0,1
83,344.0,97.0,1
84,20.0,670.0,1
85,171.0,268.0,1
86,383.0,5.0,1
87,160.0,613.0,1
88,309.0,54.0,1
89,134.0,181.0,1
90,115.0,709.0,1
91,237.0,151.0,1
92,37.0,153.0,1
93,19.0,341.0,1
94,12.0,389.0,1
95,137.0,34.0,1
96,39.0,190.0,1
97,424.0,126.0,1
98,225.0,85.0,1
99,300.0,1098.0,1
