id, featurePt.x, featurePt.y, status
0,147.0,92.0,1
1,179.0,240.0,1
2,138.0,125.0,1
3,81.0,610.0,1
4,170.0,85.0,1
5,96.0,624.0,1
6,246.0,16.0,1
7,21.0,293.0,1
8,213.0,54.0,1
9,483.0,127.0,1
10,184.0,102.0,1
11,135.0,172.0,1
12,151.0,86.0,1
13,103.0,639.0,1
14,282.0,840.0,1
15,237.0,813.0,1
16,43.0,609.0,1
17,246.0,816.0,1
18,258.0,226.0,1
19,256.0,118.0,1
20,274.0,254.0,1
21,238.0,8.0,1
22,190.0,152.0,1
23,302.0,16.0,1
24,178.0,334.0,1
25,172.0,940.0,1
26,305.0,265.0,1
27,2.0,866.0,1
28,54.0,616.0,1
29,243.0,179.0,1
30,355.0,106.0,1
31,145.0,112.0,1
32,101.0,1023.0,1
33,480.0,32.0,1
34,137.0,194.0,1
35,139.0,144.0,1
36,489.0,88.0,1
37,358.0,90.0,1
38,158.0,566.0,1
39,6.0,294.0,1
40,9.0,581.0,1
41,135.0,160.0,1
42,94.0,414.0,1
43,245.0,69.0,1
44,318.0,163.0,1
45,262.0,506.0,1
46,80.0,132.0,1
47,233.0,411.0,1
48,30.0,610.0,1
49,283.0,252.0,1
50,365.0,44.0,1
51,421.0,134.0,1
52,183.0,126.0,1
53,244.0,4.0,1
54,73.0,612.0,1
55,217.0,74.0,1
56,215.0,726.0,1
57,312.0,348.0,1
58,235.0,174.0,1
59,198.0,126.0,1
60,43.0,1006.0,1
61,296.0,255.0,1
62,428.0,89.0,1
63,187.0,143.0,1
64,393.0,3.0,1
65,487.0,49.0,1
66,242.0,114.0,1
67,206.0,74.0,1
68,221.0,154.0,1
69,407.0,154.0,1
70,349.0,59.0,1
71,183.0,205.0,1
72,411.0,139.0,1
73,324.0,349.0,1
74,79.0,203.0,1
75,18.0,350.0,1
76,171.0,239.0,1
77,402.0,103.0,1
78,308.0,141.0,1
79,281.0,868.0,1
80,200.0,426.0,1
81,420.0,182.0,1
82,140.0,651.0,1
83,421.0,150.0,1
84,130.0,187.0,1
85,400.0,271.0,1
86,384.0,57.0,1
87,49.0,1186.0,1
88,480.0,830.0,1
89,80.0,548.0,1
90,381.0,70.0,1
91,252.0,888.0,1
92,259.0,417.0,1
93,287.0,28.0,1
94,256.0,34.0,1
95,166.0,571.0,1
96,147.0,101.0,1
97,440.0,230.0,1
98,315.0,16.0,1
99,162.0,154.0,1
