id, featurePt.x, featurePt.y, status
0,54.0,95.0,1
1,104.0,341.0,1
2,237.0,16.0,1
3,121.0,330.0,1
4,203.0,486.0,1
5,75.0,85.0,1
6,73.0,99.0,1
7,276.0,585.0,1
8,204.0,248.0,1
9,103.0,354.0,1
10,123.0,547.0,1
11,430.0,237.0,1
12,173.0,294.0,1
13,172.0,1034.0,1
14,6.0,87.0,1
15,269.0,257.0,1
16,452.0,157.0,1
17,225.0,518.0,1
18,438.0,103.0,1
19,192.0,42.0,1
20,193.0,108.0,1
21,116.0,112.0,1
22,232.0,103.0,1
23,456.0,309.0,1
24,113.0,1000.0,1
25,176.0,284.0,1
26,401.0,460.0,1
27,186.0,289.0,1
28,501.0,88.0,1
29,249.0,113.0,1
30,124.0,527.0,1
31,228.0,1.0,1
32,82.0,85.0,1
33,196.0,226.0,1
34,192.0,686.0,1
35,289.0,599.0,1
36,179.0,650.0,1
37,128.0,334.0,1
38,395.0,10.0,1
39,357.0,240.0,1
40,283.0,404.0,1
41,6.0,122.0,1
42,247.0,285.0,1
43,312.0,314.0,1
44,91.0,73.0,1
45,349.0,310.0,1
46,66.0,124.0,1
47,187.0,116.0,1
48,197.0,50.0,1
49,321.0,353.0,1
50,393.0,379.0,1
51,181.0,101.0,1
52,5.0,99.0,1
53,67.0,974.0,1
54,123.0,601.0,1
55,383.0,27.0,1
56,46.0,80.0,1
57,494.0,45.0,1
58,112.0,556.0,1
59,373.0,120.0,1
60,139.0,493.0,1
61,442.0,272.0,1
62,442.0,123.0,1
63,334.0,158.0,1
64,307.0,688.0,1
65,230.0,279.0,1
66,217.0,253.0,1
67,2.0,113.0,1
68,419.0,213.0,1
69,197.0,10.0,1
70,128.0,518.0,1
71,407.0,508.0,1
72,180.0,294.0,1
73,381.0,412.0,1
74,55.0,142.0,1
75,373.0,215.0,1
76,226.0,398.0,1
77,70.0,179.0,1
78,142.0,347.0,1
79,192.0,68.0,1
80,180.0,133.0,1
81,32.0,832.0,1
82,152.0,409.0,1
83,101.0,1207.0,1
84,96.0,394.0,1
85,51.0,159.0,1
86,468.0,110.0,1
87,369.0,348.0,1
88,215.0,510.0,1
89,310.0,281.0,1
90,308.0,118.0,1
91,67.0,17.0,1
92,285.0,128.0,1
93,140.0,1002.0,1
94,46.0,164.0,1
95,235.0,73.0,1
96,65.0,97.0,1
97,189.0,479.0,1
98,121.0,243.0,1
99,209.0,205.0,1
