id, featurePt.x, featurePt.y, status
0,423.0,76.0,1
1,318.0,170.0,1
2,152.0,43.0,1
3,190.0,5.0,1
4,194.0,104.0,1
5,496.0,34.0,1
6,259.0,74.0,1
7,307.0,156.0,1
8,40.0,182.0,1
9,492.0,51.0,1
10,197.0,19.0,1
11,285.0,161.0,1
12,242.0,684.0,1
13,286.0,729.0,1
14,116.0,492.0,1
15,280.0,721.0,1
16,373.0,135.0,1
17,133.0,530.0,1
18,161.0,10.0,1
19,420.0,60.0,1
20,149.0,92.0,1
21,230.0,622.0,1
22,188.0,157.0,1
23,27.0,721.0,1
24,259.0,702.0,1
25,120.0,885.0,1
26,170.0,561.0,1
27,150.0,113.0,1
28,97.0,262.0,1
29,437.0,121.0,1
30,99.0,478.0,1
31,148.0,80.0,1
32,20.0,1109.0,1
33,292.0,921.0,1
34,107.0,298.0,1
35,300.0,157.0,1
36,324.0,240.0,1
37,109.0,317.0,1
38,274.0,123.0,1
39,508.0,65.0,1
40,274.0,1135.0,1
41,438.0,5.0,1
42,330.0,256.0,1
43,55.0,848.0,1
44,199.0,139.0,1
45,366.0,21.0,1
46,277.0,158.0,1
47,212.0,42.0,1
48,171.0,274.0,1
49,206.0,584.0,1
50,124.0,535.0,1
51,124.0,506.0,1
52,306.0,327.0,1
53,130.0,341.0,1
54,196.0,44.0,1
55,151.0,70.0,1
56,251.0,68.0,1
57,186.0,189.0,1
58,296.0,729.0,1
59,329.0,81.0,1
60,272.0,721.0,1
61,59.0,251.0,1
62,123.0,343.0,1
63,103.0,285.0,1
64,51.0,92.0,1
65,9.0,39.0,1
66,96.0,451.0,1
67,185.0,478.0,1
68,201.0,101.0,1
69,210.0,28.0,1
70,302.0,758.0,1
71,245.0,317.0,1
72,255.0,31.0,1
73,184.0,290.0,1
74,195.0,255.0,1
75,107.0,279.0,1
76,22.0,1028.0,1
77,695.0,411.0,1
78,713.0,653.0,1
79,412.0,19.0,1
80,159.0,28.0,1
81,437.0,52.0,1
82,714.0,1152.0,1
83,369.0,5.0,1
84,168.0,192.0,1
85,268.0,34.0,1
86,116.0,528.0,1
87,109.0,894.0,1
88,273.0,422.0,1
89,184.0,861.0,1
90,452.0,156.0,1
91,318.0,301.0,1
92,185.0,143.0,1
93,148.0,486.0,1
94,143.0,107.0,1
95,37.0,247.0,1
96,453.0,131.0,1
97,493.0,41.0,1
98,207.0,504.0,1
99,126.0,889.0,1
