id, featurePt.x, featurePt.y, status
0,70.0,114.0,1
1,101.0,357.0,1
2,51.0,111.0,1
3,76.0,97.0,1
4,200.0,506.0,1
5,274.0,602.0,1
6,99.0,371.0,1
7,235.0,31.0,1
8,117.0,346.0,1
9,120.0,566.0,1
10,113.0,127.0,1
11,66.0,994.0,1
12,350.0,258.0,1
13,474.0,5.0,1
14,437.0,116.0,1
15,189.0,57.0,1
16,241.0,35.0,1
17,120.0,546.0,1
18,223.0,535.0,1
19,428.0,253.0,1
20,454.0,324.0,1
21,208.0,222.0,1
22,170.0,310.0,1
23,266.0,274.0,1
24,202.0,267.0,1
25,399.0,474.0,1
26,347.0,327.0,1
27,190.0,704.0,1
28,178.0,504.0,1
29,173.0,300.0,1
30,177.0,308.0,1
31,189.0,123.0,1
32,223.0,297.0,1
33,186.0,500.0,1
34,178.0,116.0,1
35,229.0,119.0,1
36,450.0,169.0,1
37,120.0,619.0,1
38,382.0,43.0,1
39,109.0,1021.0,1
40,499.0,99.0,1
41,163.0,496.0,1
42,52.0,160.0,1
43,1.0,115.0,1
44,176.0,669.0,1
45,89.0,88.0,1
46,310.0,331.0,1
47,281.0,420.0,1
48,393.0,395.0,1
49,135.0,1024.0,1
50,126.0,529.0,1
51,224.0,15.0,1
52,205.0,260.0,1
53,63.0,139.0,1
54,7.0,140.0,1
55,57.0,992.0,1
56,261.0,558.0,1
57,20.0,95.0,1
58,110.0,574.0,1
59,169.0,1055.0,1
60,318.0,370.0,1
61,262.0,589.0,1
62,149.0,425.0,1
63,420.0,235.0,1
64,493.0,57.0,1
65,246.0,129.0,1
66,404.0,523.0,1
67,393.0,25.0,1
68,135.0,514.0,1
69,287.0,614.0,1
70,440.0,136.0,1
71,329.0,187.0,1
72,93.0,410.0,1
73,65.0,31.0,1
74,40.0,181.0,1
75,185.0,130.0,1
76,305.0,704.0,1
77,62.0,112.0,1
78,195.0,65.0,1
79,465.0,118.0,1
80,95.0,402.0,1
81,224.0,414.0,1
82,68.0,194.0,1
83,54.0,1179.0,1
84,133.0,1004.0,1
85,48.0,175.0,1
86,224.0,8.0,1
87,1.0,134.0,1
88,219.0,286.0,1
89,366.0,365.0,1
90,124.0,538.0,1
91,332.0,174.0,1
92,245.0,301.0,1
93,278.0,404.0,1
94,427.0,62.0,1
95,111.0,305.0,1
96,417.0,226.0,1
97,4.0,181.0,1
98,217.0,116.0,1
99,178.0,147.0,1
