id, featurePt.x, featurePt.y, status
0,339.0,28.0,1
1,329.0,14.0,1
2,205.0,43.0,1
3,133.0,168.0,1
4,88.0,652.0,1
5,477.0,883.0,1
6,315.0,13.0,1
7,360.0,158.0,1
8,119.0,102.0,1
9,64.0,504.0,1
10,89.0,629.0,1
11,205.0,328.0,1
12,152.0,677.0,1
13,350.0,118.0,1
14,191.0,315.0,1
15,307.0,17.0,1
16,83.0,827.0,1
17,369.0,182.0,1
18,159.0,626.0,1
19,147.0,180.0,1
20,121.0,652.0,1
21,148.0,290.0,1
22,218.0,334.0,1
23,97.0,959.0,1
24,336.0,50.0,1
25,101.0,94.0,1
26,128.0,558.0,1
27,212.0,617.0,1
28,148.0,199.0,1
29,330.0,596.0,1
30,462.0,29.0,1
31,337.0,629.0,1
32,88.0,963.0,1
33,334.0,644.0,1
34,85.0,897.0,1
35,143.0,530.0,1
36,243.0,466.0,1
37,140.0,635.0,1
38,318.0,562.0,1
39,307.0,151.0,1
40,365.0,174.0,1
41,228.0,579.0,1
42,459.0,140.0,1
43,128.0,147.0,1
44,330.0,621.0,1
45,691.0,811.0,1
46,388.0,9.0,1
47,310.0,554.0,1
48,344.0,105.0,1
49,141.0,840.0,1
50,88.0,550.0,1
51,239.0,603.0,1
52,231.0,604.0,1
53,259.0,913.0,1
54,269.0,117.0,1
55,716.0,1090.0,1
56,243.0,760.0,1
57,192.0,49.0,1
58,196.0,717.0,1
59,121.0,147.0,1
60,151.0,310.0,1
61,253.0,17.0,1
62,291.0,288.0,1
63,213.0,650.0,1
64,286.0,645.0,1
65,158.0,810.0,1
66,31.0,1037.0,1
67,326.0,184.0,1
68,226.0,634.0,1
69,193.0,136.0,1
70,300.0,147.0,1
71,143.0,1262.0,1
72,35.0,811.0,1
73,709.0,1094.0,1
74,354.0,125.0,1
75,145.0,711.0,1
76,168.0,335.0,1
77,201.0,132.0,1
78,55.0,826.0,1
79,368.0,161.0,1
80,267.0,171.0,1
81,135.0,483.0,1
82,259.0,119.0,1
83,68.0,9.0,1
84,23.0,859.0,1
85,228.0,421.0,1
86,23.0,647.0,1
87,404.0,208.0,1
88,181.0,643.0,1
89,412.0,122.0,1
90,190.0,721.0,1
91,252.0,464.0,1
92,312.0,604.0,1
93,45.0,152.0,1
94,213.0,45.0,1
95,79.0,659.0,1
96,285.0,516.0,1
97,8.0,101.0,1
98,300.0,11.0,1
99,254.0,487.0,1
